step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
108,1279072,864,0.02300532876487597,0.0,0.5555555555555556,,,
109,1289704,872,0.020618314327225922,0.0,0.5833333333333334,,,
110,1301104,880,0.020404672439927326,0.0,0.46875,,,
111,1313144,888,0.020971993830083403,0.0,0.4411764705882353,,,
112,1323648,896,0.022610568552023157,0.0,0.46875,,,
113,1334280,904,0.020349806868311022,0.0,0.6176470588235294,0.020400721392583598,0.0,0.5714285714285714
114,1345232,912,0.020628588526618363,0.0,0.5161290322580645,,,
115,1361304,920,0.01790231894263979,0.125,0.5,,,
116,1372128,928,0.022259056944924572,0.0,0.5454545454545454,,,
117,1385512,936,0.015603876296134661,0.0,0.5483870967741935,,,
118,1396656,944,0.020171842657924256,0.0,0.5714285714285714,,,
119,1407800,952,0.020824381128911922,0.0,0.5277777777777778,,,
120,1418880,960,0.019857975346479276,0.0,0.4642857142857143,,,
121,1431048,968,0.021258295495956,0.0,0.5161290322580645,0.017694058657714673,0.0,0.41379310344827586
122,1440208,976,0.02266272155653073,0.0,0.5454545454545454,,,
123,1452248,984,0.018596088052944035,0.0,0.46875,,,
124,1463072,992,0.019835510148758628,0.0,0.5428571428571428,,,
125,1474472,1000,0.01856155188902942,0.0,0.5333333333333333,,,
126,1486768,1008,0.019502126848249802,0.0,0.5454545454545454,,,
127,1498616,1016,0.018235505151243954,0.25,0.6,,,
128,1512512,1024,0.014295536693295434,0.125,0.5454545454545454,,,
129,1524936,1032,0.018138521439352535,0.0,0.5588235294117647,0.018109216693954957,0.0,0.6
130,1534864,1040,0.02265314846684237,0.0,0.41379310344827586,,,
131,1547160,1048,0.018126308224809522,0.0,0.5945945945945946,,,
132,1558496,1056,0.01870259202948776,0.0,0.5714285714285714,,,
133,1571944,1064,0.020800277043274036,0.0,0.4375,,,
134,1583216,1072,0.02118245286631293,0.0,0.5161290322580645,,,
135,1593656,1080,0.020965284542264217,0.0,0.5625,,,
136,1606272,1088,0.016188877602543332,0.0,0.5862068965517241,,,
137,1621512,1096,0.015584744075583898,0.0,0.46875,0.020883361986644974,0.0,0.4722222222222222
138,1631888,1104,0.02282854836310441,0.0,0.6060606060606061,,,
139,1644056,1112,0.020910019937018944,0.125,0.42424242424242425,,,
140,1654880,1120,0.01800725766075206,0.0,0.5428571428571428,,,
141,1667944,1128,0.01907608995230495,0.0,0.5428571428571428,,,
142,1678448,1136,0.021673173869850078,0.0,0.4411764705882353,,,
143,1690168,1144,0.02142940087538489,0.125,0.5806451612903226,,,
144,1705216,1152,0.01534581194076343,0.0,0.53125,,,
145,1716872,1160,0.01941032740014114,0.0,0.5142857142857142,0.022634577159245852,0.0,0.6666666666666666
146,1728976,1168,0.020281879475698168,0.0,0.5454545454545454,,,
147,1738904,1176,0.019959316118588814,0.0,0.41379310344827586,,,
148,1751392,1184,0.017326204242882053,0.0,0.43333333333333335,,,
149,1762792,1192,0.021326590115088674,0.0,0.5714285714285714,,,
150,1772208,1200,0.020970422971713587,0.0,0.46153846153846156,,,
151,1785592,1208,0.018094406813991902,0.0,0.41935483870967744,,,
152,1797824,1216,0.018200891365825117,0.0,0.5161290322580645,,,
153,1808072,1224,0.02284210331892455,0.0,0.3939393939393939,0.016505519867732774,0.0,0.48484848484848486
154,1819280,1232,0.01847096222480078,0.0,0.6111111111111112,,,
155,1830680,1240,0.02171021824078831,0.0,0.48484848484848486,,,
156,1841632,1248,0.020433776358476284,0.0,0.4230769230769231,,,
157,1853416,1256,0.023173833864886216,0.0,0.45714285714285713,,,
158,1865520,1264,0.018509759956829356,0.0,0.5333333333333333,,,
159,1875832,1272,0.020608617064196495,0.0,0.5135135135135135,,,
160,1888576,1280,0.018033799526070197,0.0,0.5,,,
161,1903560,1288,0.017803594855976834,0.0,0.4883720930232558,0.02068324805169705,0.0,0.5
162,1915024,1296,0.018796384999980955,0.0,0.5185185185185185,,,
163,1927384,1304,0.017384155359315857,0.0,0.5555555555555556,,,
164,1939616,1312,0.02116565125597982,0.125,0.5714285714285714,,,
165,1948520,1320,0.022468078412428823,0.0,0.5,,,
166,1958320,1328,0.02227849416497073,0.0,0.5882352941176471,,,
167,1969848,1336,0.015412268426183269,0.125,0.5172413793103449,,,
168,1982208,1344,0.01651441895725886,0.0,0.5454545454545454,,,
169,1996232,1352,0.014839395607144467,0.0,0.5666666666666667,0.020283569376116563,0.0,0.5862068965517241
170,2009616,1360,0.017512676715379052,0.0,0.5333333333333333,,,
171,2021464,1368,0.018821862260653962,0.0,0.5263157894736842,,,
172,2032736,1376,0.022009445775626465,0.0,0.5833333333333334,,,
173,2043560,1384,0.021653924785058908,0.0,0.5384615384615384,,,
174,2053488,1392,0.02313525141725576,0.0,0.48717948717948717,,,
175,2064824,1400,0.019481958362990034,0.0,0.5483870967741935,,,
176,2074752,1408,0.019829580190333627,0.0,0.6,,,
177,2085640,1416,0.02023265310206482,0.0,0.5555555555555556,0.02229152620087285,0.0,0.5
178,2095184,1424,0.024851078966077866,0.0,0.5151515151515151,,,
179,2107608,1432,0.01993223235433684,0.0,0.5172413793103449,,,
180,2121184,1440,0.01812143459621585,0.125,0.5757575757575758,,,
181,2132136,1448,0.021253983010228482,0.0,0.5454545454545454,,,
182,2143088,1456,0.021076230919675067,0.0,0.4411764705882353,,,
183,2154040,1464,0.020071879789243394,0.0,0.5,,,
184,2163968,1472,0.020556963562284536,0.0,0.5454545454545454,,,
185,2178312,1480,0.015072360165350875,0.0,0.5625,0.021699209528211336,0.0,0.4166666666666667
186,2193360,1488,0.014729753050100465,0.0,0.4838709677419355,,,
187,2203416,1496,0.02237195724727155,0.0,0.48484848484848486,,,
188,2214496,1504,0.018460858492786638,0.0,0.5882352941176471,,,
189,2223848,1512,0.023391817343616034,0.0,0.4,,,
190,2235952,1520,0.019233052935395248,0.0,0.5294117647058824,,,
191,2248440,1528,0.015760309572219126,0.0,0.6,,,
192,2260416,1536,0.018504412502927472,0.0,0.45161290322580644,,,
193,2272328,1544,0.01961023948643591,0.0,0.5454545454545454,0.01801952333827337,0.0,0.5862068965517241
194,2284304,1552,0.020296016289033998,0.0,0.5277777777777778,,,
195,2296536,1560,0.019668320184114286,0.125,0.7083333333333334,,,
196,2307808,1568,0.018667654158955722,0.0,0.5405405405405406,,,
197,2317608,1576,0.022172737930783712,0.0,0.46875,,,
198,2327536,1584,0.02667644146225929,0.0,0.5319148936170213,,,
199,2338488,1592,0.026250053454977575,0.0,0.5535714285714286,,,
200,2350656,1600,0.017517698059003647,0.0,0.5294117647058824,,,
201,2362952,1608,0.01883100903735152,0.0,0.47058823529411764,0.020940211007371635,0.125,0.5625
202,2375824,1616,0.021367246226469214,0.0,0.5555555555555556,,,
203,2385816,1624,0.020049983320833634,0.0,0.6111111111111112,,,
204,2395296,1632,0.01665868902099902,0.0,0.4482758620689655,,,
205,2407272,1640,0.019272543750528497,0.0,0.46153846153846156,,,
206,2418480,1648,0.02386413002214214,0.0,0.42857142857142855,,,
207,2430328,1656,0.02031232184386441,0.125,0.5454545454545454,,,
208,2442176,1664,0.01991829461214151,0.0,0.8508771929824561,,,
209,2453000,1672,0.019937419287811176,0.0,0.5882352941176471,0.014752919215352043,0.0,0.5833333333333334
210,2464720,1680,0.020539136021976555,0.0,0.5121951219512195,,,
211,2476632,1688,0.01721814467867316,0.125,0.65625,,,
212,2485856,1696,0.023043281559177578,0.0,0.4857142857142857,,,
213,2496808,1704,0.020387880909025057,0.0,0.4594594594594595,,,
214,2510512,1712,0.020428599184696115,0.0,0.7375,,,
215,2522040,1720,0.019700991334108332,0.0,0.5555555555555556,,,
216,2533120,1728,0.02066129815711003,0.0,0.5945945945945946,,,
217,2544392,1736,0.022975214309160556,0.0,0.3333333333333333,0.02539488966958045,0.0,0.39285714285714285
218,2558224,1744,0.017010096399712765,0.125,0.5625,,,
219,2569752,1752,0.02078341124140115,0.125,0.475,,,
220,2580448,1760,0.022942199902168347,0.0,0.5681818181818182,,,
221,2590504,1768,0.019987728450188303,0.0,0.53125,,,
222,2603632,1776,0.018709152265504216,0.0,0.53125,,,
223,2611768,1784,0.02466978340716692,0.0,0.4117647058823529,,,
224,2620224,1792,0.025332333593608113,0.0,0.5757575757575758,,,
225,2634504,1800,0.015887544531431135,0.0,0.4444444444444444,0.016933716438953497,0.0,0.5757575757575758
226,2646928,1808,0.017889373762528166,0.0,0.5,,,
227,2655064,1816,0.0224854780299906,0.0,0.5862068965517241,,,
228,2666080,1824,0.019181061171087088,0.125,0.6451612903225806,,,
229,2677736,1832,0.01839070404345154,0.0,0.525,,,
230,2689328,1840,0.023166845246295434,0.0,0.5405405405405406,,,
231,2701560,1848,0.018419675624595958,0.125,0.5517241379310345,,,
232,2711616,1856,0.02291245835707448,0.0,0.46875,,,
233,2721288,1864,0.023541341325590725,0.0,0.5142857142857142,0.022091509770095087,0.125,0.45714285714285713
234,2731728,1872,0.02240178415801833,0.0,0.5454545454545454,,,
235,2746200,1880,0.01946231624136778,0.125,0.5128205128205128,,,
236,2758240,1888,0.020259189025568287,0.0,0.5151515151515151,,,
237,2767208,1896,0.02187613353609111,0.0,0.4666666666666667,,,
238,2779632,1904,0.01940985314426537,0.0,0.5945945945945946,,,
239,2791416,1912,0.01984689425916217,0.0,0.4666666666666667,,,
240,2802496,1920,0.020939736929887338,0.0,0.46875,,,
241,2812936,1928,0.02024865332352798,0.0,0.5757575757575758,0.014237251498858006,0.0,0.5526315789473685
242,2827280,1936,0.017496228029023186,0.0,0.5641025641025641,,,
243,2839064,1944,0.01955896389736311,0.125,0.4482758620689655,,,
244,2854112,1952,0.018272156337709396,0.0,0.38461538461538464,,,
245,2864808,1960,0.01913935086415545,0.0,0.5294117647058824,,,
246,2875952,1968,0.017773915383192434,0.0,0.6129032258064516,,,
247,2886328,1976,0.01986304488923697,0.125,0.5333333333333333,,,
248,2895296,1984,0.019329081270044207,0.0,0.5333333333333333,,,
249,2907400,1992,0.019133264896244725,0.0,0.4857142857142857,0.022111804092034577,0.0,0.4
250,2919312,2000,0.022481024739712387,0.0,0.5,,,
251,2931928,2008,0.017333921200043557,0.0,0.5142857142857142,,,
252,2944544,2016,0.020618879533260925,0.0,0.5151515151515151,,,
253,2954216,2024,0.023929005630713037,0.0,0.5517241379310345,,,
254,2964016,2032,0.02230623622760332,0.0,0.5,,,
255,2975992,2040,0.0174142666315032,0.0,0.5588235294117647,,,
256,2989568,2048,0.015959326924002173,0.0,0.6060606060606061,,,
257,3003272,2056,0.015447930865043077,0.0,0.5151515151515151,0.01566208662571649,0.0,0.5263157894736842
258,3016656,2064,0.016567678884125314,0.125,0.5625,,,
259,3025880,2072,0.02186121835547461,0.0,0.6363636363636364,,,
260,3038176,2080,0.019546976507968588,0.0,0.5882352941176471,,,
261,3050280,2088,0.01800467806253699,0.0,0.5428571428571428,,,
262,3060784,2096,0.017883185435205513,0.125,0.5416666666666666,,,
263,3076088,2104,0.012928448028690549,0.0,0.5,,,
264,3086080,2112,0.02547962480988954,0.0,0.43333333333333335,,,
265,3098056,2120,0.019016114190590433,0.0,0.5428571428571428,0.02327652110037846,0.0,0.4418604651162791
266,3108304,2128,0.01921083709810928,0.0,0.5862068965517241,,,
267,3117656,2136,0.022956916422297517,0.0,0.5454545454545454,,,
268,3128288,2144,0.02160625639123858,0.0,0.4666666666666667,,,
269,3140008,2152,0.016436359196965643,0.0,0.5161290322580645,,,
270,3151728,2160,0.02221375581711975,0.125,0.42424242424242425,,,
271,3163640,2168,0.019323230633364795,0.0,0.5,,,
272,3175232,2176,0.018829968705103263,0.0,0.5588235294117647,,,
273,3188808,2184,0.01563391369608567,0.0,0.6111111111111112,0.01570005346020772,0.0,0.5625
274,3201424,2192,0.017372207324966808,0.0,0.59375,,,
275,3212952,2200,0.020565088031832986,0.0,0.4,,,
276,3224736,2208,0.020550681542896434,0.0,0.5,,,
277,3235624,2216,0.0270033060109852,0.0,0.38636363636363635,,,
278,3249520,2224,0.01659373333390852,0.0,0.48148148148148145,,,
279,3258488,2232,0.020665271686709848,0.0,0.4666666666666667,,,
280,3269056,2240,0.02147205883412792,0.125,0.5384615384615384,,,
281,3284232,2248,0.014238054717514388,0.0,0.52,0.023471708041967597,0.0,0.5483870967741935
282,3298576,2256,0.014297413139253468,0.0,0.6428571428571429,,,
283,3308952,2264,0.019809772414550845,0.25,0.6333333333333333,,,
284,3322720,2272,0.015345423288486287,0.125,0.6285714285714286,,,
285,3332840,2280,0.02324782586985675,0.0,0.41935483870967744,,,
286,3342000,2288,0.020189737041308005,0.0,0.6129032258064516,,,
287,3352632,2296,0.021738516888420878,0.0,0.5428571428571428,,,
288,3362112,2304,0.021305753591159972,0.0,0.5135135135135135,,,
289,3378248,2312,0.013839459186036917,0.0,0.53125,0.020531500864595868,0.125,0.6388888888888888
290,3391504,2320,0.01569317879187783,0.125,0.6363636363636364,,,
291,3401112,2328,0.02062324183621301,0.0,0.5185185185185185,,,
292,3416160,2336,0.013335279077105343,0.0,0.625,,,
293,3428712,2344,0.021267459763927635,0.0,0.5714285714285714,,,
294,3440560,2352,0.021008995737346343,0.0,0.5142857142857142,,,
295,3452792,2360,0.01911966967445171,0.0,0.5454545454545454,,,
296,3463552,2368,0.018458524801833954,0.0,0.4375,,,
297,3478664,2376,0.013850299619422891,0.0,0.5483870967741935,0.01789616239967991,0.0,0.53125
298,3488976,2384,0.02901218485486333,0.0,0.4,,,
299,3500632,2392,0.02204744931582659,0.0,0.4482758620689655,,,
300,3512096,2400,0.02154227536962971,0.0,0.5,,,
301,3525480,2408,0.018512726767862864,0.0,0.5757575757575758,,,
302,3534896,2416,0.02167593876635245,0.0,0.5405405405405406,,,
303,3550072,2424,0.01645034541249026,0.0,0.5142857142857142,,,
304,3560448,2432,0.019808280215566583,0.0,0.43333333333333335,,,
305,3573128,2440,0.021819212860384105,0.0,0.5,0.018636285103316778,0.0,0.4838709677419355
306,3584400,2448,0.023863241968190615,0.0,0.4878048780487805,,,
307,3596376,2456,0.021843306983906005,0.0,0.5555555555555556,,,
308,3609120,2464,0.018387112028986997,0.0,0.5757575757575758,,,
309,3619880,2472,0.01878151561339223,0.0,0.5806451612903226,,,
310,3629680,2480,0.02203749700045864,0.0,0.5454545454545454,,,
311,3640184,2488,0.02355096398345277,0.0,0.5,,,
312,3649024,2496,0.02360649279964916,0.125,0.5714285714285714,,,
313,3661832,2504,0.016117310741890954,0.0,0.5882352941176471,0.022017507039833243,0.0,0.5892857142857143
314,3673040,2512,0.018784816865961736,0.125,0.6129032258064516,,,
315,3682968,2520,0.018198498083015113,0.0,0.6060606060606061,,,
316,3693728,2528,0.02103200706728417,0.0,0.5161290322580645,,,
317,3705576,2536,0.016285722099742328,0.125,0.5862068965517241,,,
318,3718576,2544,0.018414425710638258,0.0,0.46875,,,
319,3731576,2552,0.018195721219264084,0.0,0.5454545454545454,,,
320,3743808,2560,0.016526697272951286,0.0,0.5641025641025641,,,
321,3756552,2568,0.01791623960231702,0.125,0.5714285714285714,0.017799524541064485,0.0,0.4666666666666667
322,3768336,2576,0.017433986775106537,0.0,0.4444444444444444,,,
323,3778008,2584,0.02234878758259974,0.0,0.5,,,
324,3790688,2592,0.01857400766934582,0.0,0.5405405405405406,,,
325,3802408,2600,0.01878853681279472,0.0,0.4857142857142857,,,
326,3811696,2608,0.0207132827073113,0.0,0.5806451612903226,,,
327,3822584,2616,0.020615176136155607,0.0,0.6176470588235294,,,
328,3833152,2624,0.020712083867661726,0.0,0.53125,,,
329,3842760,2632,0.021251175865346087,0.0,0.5,0.02229439508715206,0.0,0.5588235294117647
330,3853072,2640,0.01962945700525772,0.0,0.5675675675675675,,,
331,3863512,2648,0.019123878655061644,0.0,0.5945945945945946,,,
332,3875616,2656,0.020305103362491098,0.25,0.5806451612903226,,,
333,3887272,2664,0.018391640948358226,0.0,0.5405405405405406,,,
334,3901360,2672,0.01823630714276233,0.0,0.5,,,
335,3915192,2680,0.01640689501296127,0.0,0.5454545454545454,,,
336,3923840,2688,0.02321180225436446,0.0,0.5588235294117647,,,
337,3934600,2696,0.0220540366307518,0.0,0.5294117647058824,0.0218387713213171,0.0,0.6216216216216216
338,3947152,2704,0.016160601861199466,0.0,0.5161290322580645,,,
339,3959192,2712,0.017873051219582006,0.0,0.5277777777777778,,,
340,3971680,2720,0.018909757886205022,0.0,0.48148148148148145,,,
341,3981416,2728,0.02307386995606613,0.0,0.4074074074074074,,,
342,3992624,2736,0.020906339150935455,0.0,0.45454545454545453,,,
343,4003832,2744,0.018976409405206607,0.0,0.5483870967741935,,,
344,4013504,2752,0.020864538069433284,0.0,0.4375,,,
345,4026184,2760,0.01812335703537342,0.0,0.5588235294117647,0.021417637129729425,0.0,0.4838709677419355
346,4035472,2768,0.023783657881275903,0.0,0.6,,,
347,4044376,2776,0.01929113869645428,0.125,0.6206896551724138,,,
348,4058656,2784,0.015816033383793067,0.0,0.5945945945945946,,,
349,4067176,2792,0.021378954709546472,0.0,0.6285714285714286,,,
350,4080304,2800,0.018971302427397224,0.0,0.5,,,
351,4092920,2808,0.018721986821753887,0.125,0.5555555555555556,,,
352,4103360,2816,0.021753785844750524,0.0,0.45454545454545453,,,
353,4114632,2824,0.017577353649297276,0.0,0.5294117647058824,0.01919611336531657,0.0,0.46875
354,4126672,2832,0.016460341987027838,0.0,0.5161290322580645,,,
355,4136728,2840,0.018190471344085406,0.0,0.5151515151515151,,,
356,4147744,2848,0.021065163164303093,0.0,0.5151515151515151,,,
357,4160360,2856,0.01918727906888117,0.0,0.5714285714285714,,,
358,4170480,2864,0.020581738269975048,0.0,0.5277777777777778,,,
359,4186488,2872,0.014121924077240918,0.0,0.4230769230769231,,,
360,4198080,2880,0.019153953727795308,0.0,0.5588235294117647,,,
361,4208264,2888,0.019577840595309485,0.125,0.5333333333333333,0.019716377264126696,0.0,0.5882352941176471
362,4222608,2896,0.015346930644859591,0.0,0.47058823529411764,,,
363,4235224,2904,0.01891345943239861,0.0,0.41935483870967744,,,
364,4247968,2912,0.019741527555188446,0.0,0.53125,,,
365,4257384,2920,0.02196047697548004,0.0,0.5,,,
366,4268592,2928,0.021639547682811344,0.0,0.5428571428571428,,,
367,4278520,2936,0.022135618830278335,0.0,0.4827586206896552,,,
368,4289280,2944,0.018821137887111764,0.0,0.5882352941176471,,,
369,4299272,2952,0.024605635589800997,0.0,0.5161290322580645,0.01798331770418583,0.0,0.42424242424242425
370,4312528,2960,0.015425393860758859,0.0,0.5,,,
371,4323672,2968,0.0224251756804691,0.0,0.4482758620689655,,,
372,4338592,2976,0.013233624987339957,0.0,0.5,,,
373,4349224,2984,0.01976433576511025,0.0,0.5,,,
374,4360368,2992,0.019311619823687655,0.0,0.5294117647058824,,,
375,4371000,3000,0.02233597703687323,0.0,0.5675675675675675,,,
376,4383104,3008,0.020937785536882574,0.0,0.5121951219512195,,,
377,4392456,3016,0.02222539799203538,0.125,0.5882352941176471,0.019873524925980476,0.0,0.5
378,4404240,3024,0.02194600866350197,0.0,0.6285714285714286,,,
379,4416984,3032,0.018105551847862517,0.0,0.5714285714285714,,,
380,4429280,3040,0.020644539649061763,0.0,0.5,,,
381,4440424,3048,0.02269776094635795,0.125,0.5,,,
382,4451056,3056,0.02166711736173767,0.0,0.5483870967741935,,,
383,4461496,3064,0.020078675829909094,0.125,0.4642857142857143,,,
384,4474112,3072,0.020123982903247916,0.0,0.5588235294117647,,,
385,4484808,3080,0.019065178642109284,0.0,0.5454545454545454,0.016982099573633676,0.125,0.5625
386,4494608,3088,0.02136886414607889,0.0,0.5405405405405406,,,
387,4505816,3096,0.016234125350633392,0.0,0.5714285714285714,,,
388,4515488,3104,0.024920430149516885,0.0,0.38461538461538464,,,
389,4526440,3112,0.019403489246770097,0.0,0.5384615384615384,,,
390,4540464,3120,0.019504563662586426,0.0,0.5128205128205128,,,
391,4550968,3128,0.021129221107927178,0.0,0.4827586206896552,,,
392,4562624,3136,0.017390095826609046,0.0,0.5483870967741935,,,
393,4572168,3144,0.018891252667893862,0.0,0.6,0.01766726985752636,0.0,0.5882352941176471
394,4583632,3152,0.019640157810260305,0.0,0.5588235294117647,,,
395,4594264,3160,0.0216274334102654,0.0,0.5483870967741935,,,
396,4604192,3168,0.021955954765353624,0.0,0.5625,,,
397,4614696,3176,0.01875114992947274,0.0,0.5357142857142857,,,
